01ke5732.copc.laz,Qmc4rKYAphk1KoeKiHWpJBT4QG7CbVCk6YMDjrxJbeS4Em,232569407,221.80 MiB
01ke5733.copc.laz,QmPSfYomRVEZFtRcSX6R8DyZqQsR5QpiEdJbR5NW9NKLxU,263948172,251.72 MiB
01ke5734.copc.laz,QmNR8iFpjDeXK8nBicoAhUSRBUfZEL9TTP96ahASLbXQUS,249702489,238.13 MiB
01ke5741.copc.laz,QmazXWj3Jet8am16X3m311UtL97gdEQsZh91C7WGevyGa4,200037552,190.77 MiB
01ke5742.copc.laz,QmNehFHe1Cm6RAjqyKSmn3QLfJNZq4aVnESckUSwYqVrJV,92801354,88.50 MiB
01ke5743.copc.laz,QmdQMcQKwsSALHh1dVvHTq35khxYdxCRArpetgL9ogAGph,238378648,227.34 MiB
01ke5744.copc.laz,QmTRPWat5ncWnwnBdBJbxJ6PqeYf1Twkd9H1BLLRnBfEzT,197491672,188.34 MiB
01ke5811.copc.laz,QmQqYuLZqDwKG239RgY8BZcgxzhyF4kNCDr8T5NKHBNUDQ,10202839,9.73 MiB
01ke5812.copc.laz,QmVddeJFUoFewsyDVb3MzsR2MWiG5MPnzqBpCmAWT9Y4Lo,7996768,7.63 MiB
01ke5813.copc.laz,QmT8mY9y3hs2FExSANtzvPLM3cLoMvkrFo4nt2hn6Ls16Q,45995360,43.86 MiB
01ke5814.copc.laz,Qmews4v1Lo24E6mT6E98Qg7tj1zoR6WHUHzSdCKD6ebx5u,102435655,97.69 MiB
01ke5831.copc.laz,QmV5zUNDsyXbeLq3ruTjMsC7NTQ2RDD9CFWzvbgfXt6we9,11807109,11.26 MiB
01ke5832.copc.laz,QmZxbBaawgcLyfHrKaipx77VPbjfsKD1YU1UTmqU5mgS28,140944208,134.41 MiB
01ke5833.copc.laz,QmcUYvBX4d43wV919cBQLaJ6hFGrEgZpr2tAoo78uGAYwk,59874857,57.10 MiB
01ke5834.copc.laz,QmP7LuUs7UTqz6kAiH4bU6tbjJZhDooaoyFhM1HNaAeQW8,228841131,218.24 MiB
01ke5843.copc.laz,QmVUK6Ec2EoASi7v7Ph9gn6ESswSQ1kC9pbbTKHq9FsRcd,197163576,188.03 MiB
01ke6711.copc.laz,QmQmHLR5K29KGraD2LtLBtvPgpiUi4Uq6CP45vGPhywWxf,255296579,243.47 MiB
01ke6712.copc.laz,QmcWhTgYA9qE9gvV4pwb4HvEDB2tEDRG1KnFRAXG2xRJKy,255673581,243.83 MiB
01ke6714.copc.laz,QmT4SJKSSzCLcuZsVC2zHrZeXWHE7gRwKHtV9HMktDLxcW,244386809,233.07 MiB
01ke6721.copc.laz,QmWT8Tj853XfBqRC5ECaa2394dPN6ECZz2iWW4Ls3YL8Gz,260404748,248.34 MiB
